PRESIDENT	BIRTH DATE	BIRTH PLACE	DEATH DATE	LOCATION OF DEATH

George Washington	2/22/1732	Westmoreland Co., Va.	12/14/1799	Mount Vernon, Va.
John Adams	10/30/1735	Quincy, Mass.	7/4/1826	Quincy, Mass.
Thomas Jefferson	4/13/1743	Albemarle Co., Va.	7/4/1826	Albemarle Co., Va.

James Madison	3/16/1751	Port Conway, Va.	6/28/1836	Orange Co., Va.
James Monroe	4/28/1758	Westmoreland Co., Va.	7/4/1831	New York, New York
John Quincy Adams	7/11/1767	Quincy, Mass.	2/23/1848	Washington, D.C.
Andrew Jackson	3/15/1767	Waxhaws, No/So Carolina	6/8/1845	Nashville, Tennessee
Martin Van Buren	12/5/1782	Kinderhook, New York	7/24/1862	Kinderhook, New York
William Henry Harrison	2/9/1773	Charles City Co., Va.	4/4/1841	Washington, D.C.
John Tyler	3/29/1790	Charles City Co., Va.	1/18/1862	Richmond, Va.
James K. Polk	11/2/1795	Mecklenburg Co., N.C.	6/15/1849	Nashville, Tennessee
Zachary Taylor	11/24/1784	Orange County, Va.	7/9/1850	Washington, D.C
Millard Fillmore	1/7/1800	Cayuga Co., New York	3/8/1874	Buffalo, New York
Franklin Pierce	11/23/1804	Hillsborough, N.H.	10/8/1869	Concord, New Hamp.
James Buchanan	4/23/1791	Cove Gap, Pa.	6/1/1868	Lancaster, Pa.
Abraham Lincoln	2/12/1809	LaRue Co., Kentucky	4/15/1865	Washington, D.C.
Andrew Johnson	12/29/1808	Raleigh, North Carolina	7/31/1875	Elizabethton, Tenn.
Ulysses S. Grant	4/27/1822	Point Pleasant, Ohio	7/23/1885	Wilton, New York
Rutherford B. Hayes	10/4/1822	Delaware, Ohio	1/17/1893	Fremont, Ohio
James A. Garfield	11/19/1831	Cuyahoga Co., Ohio	9/19/1881	Elberon, New Jersey
Chester Arthur	10/5/1829	Fairfield, Vermont	11/18/1886	New York, New York
Grover Cleveland	3/18/1837	Caldwell, New Jersey	6/24/1908	Princeton, New Jersey
Benjamin Harrison	8/20/1833	North Bend, Ohio	3/13/1901	Indianapolis, Indiana
William McKinley	1/29/1843	Niles, Ohio	9/14/1901	Buffalo, New York
Theodore Roosevelt	10/27/1858	New York, New York	1/6/1919	Oyster Bay, New York
William Howard Taft	9/15/1857	Cincinnati, Ohio	3/8/1930	Washington, D.C.
Woodrow Wilson	12/28/1856	Staunton, Virginia	2/3/1924	Washington, D.C.
Warren G. Harding	11/2/1865	Morrow County, Ohio	8/2/1923	San Francisco, Cal.
Calvin Coolidge	7/4/1872	Plymouth, Vermont	1/5/1933	Northampton, Mass.
Herbert Hoover	8/10/1874	West Branch, Iowa	10/20/1964	New York, New York
Franklin Roosevelt	1/30/1882	Hyde Park, New York	4/12/1945	Warm Springs, Ga.
Harry S. Truman	5/8/1884	Lamar, Missouri	12/26/1972	Kansas City, Missouri
Dwight Eisenhower	10/14/1890	Denison, Texas	3/28/1969	Washington, D.C.
John F. Kennedy	5/29/1917	Brookline, Mass.	11/22/1963	Dallas, Texas
Lyndon B. Johnson	8/27/1908	Gillespie Co., Texas	1/22/1973	Gillespie Co., Texas
Richard Nixon	1/9/1913	Yorba Linda, Cal.	4/22/1994	New York, New York
Gerald Ford	7/14/1913	Omaha, Nebraska	12/26/2006	Rancho Mirage, Cal.
Jimmy Carter	10/1/1924	Plains, Georgia		
Ronald Reagan	2/6/1911	Tampico, Illinois	6/5/2004	Los Angeles, Cal.
George Bush	6/12/1924	Milton, Mass.	11/30/2018	Houston, Texas
Bill Clinton	8/19/1946	Hope, Arkansas		
George W. Bush	7/6/1946	New Haven, Conn.		
Barack Obama	8/4/1961	Honolulu, Hawaii		
Donald Trump	6/14/1946	New York, New York		
Joe Biden	11/20/1942	Scranton, Pennsylvania		


